ID,Globalisation_score
COG_1999,42.78
COG_2000,39.04
COG_2001,38.66
COG_2002,40.28
COG_2003,41.05
COG_2004,46.29
COG_2005,47.62
COG_2006,46.30
COG_2007,44.60
COG_2008,44.27
COG_2009,50.80
COG_2010,50.58
COG_2011,46.62
COL_1970,32.30
COL_1971,32.47
COL_1972,32.91
COL_1973,33.60
COL_1974,33.50
COL_1975,34.33
COL_1976,34.66
COL_1977,34.62
COL_1978,34.73
COL_1979,34.96
COL_1980,35.23
COL_1981,35.70
COL_1982,35.75
COL_1983,36.55
COL_1984,37.08
COL_1985,38.04
COL_1986,38.98
COL_1987,39.30
COL_1988,38.24
COL_1989,38.13
COL_1990,38.21
COL_1991,40.37
COL_1992,45.36
COL_1993,47.60
COL_1994,47.49
COL_1995,51.10
COL_1996,49.03
COL_1997,54.40
COL_1998,50.72
COL_1999,51.08
COL_2000,50.36
COL_2001,52.47
COL_2002,52.11
COL_2003,53.29
COL_2004,53.94
COL_2005,53.20
COL_2006,56.99
COL_2007,57.85
COL_2008,56.36
COL_2009,56.77
COL_2010,52.95
COL_2011,59.29
CRI_1970,40.59
CRI_1971,42.34
CRI_1972,42.52
CRI_1973,43.44
CRI_1974,43.49
CRI_1975,42.88
CRI_1976,43.10
CRI_1977,43.71
CRI_1978,44.36
CRI_1979,44.79
CRI_1980,45.48
CRI_1981,49.56
CRI_1982,49.85
CRI_1983,50.08
CRI_1984,49.61
CRI_1985,49.64
CRI_1986,49.83
CRI_1987,49.85
CRI_1988,49.57
CRI_1989,49.22
CRI_1990,49.43
CRI_1991,50.28
CRI_1992,49.68
CRI_1993,52.78
CRI_1994,53.72
CRI_1995,53.53
CRI_1996,54.95
CRI_1997,56.68
CRI_1998,58.95
CRI_1999,61.40
CRI_2000,61.68
CRI_2001,60.70
CRI_2002,60.50
CRI_2003,62.91
CRI_2004,59.27
CRI_2005,62.18
CRI_2006,63.82
CRI_2007,65.40
CRI_2008,63.87
CRI_2009,63.66
CRI_2010,62.31
CRI_2011,62.04
CUB_1970,32.50
CUB_1971,32.46
CUB_1972,32.99
CUB_1973,32.90
CUB_1974,33.44
CUB_1975,34.11
CUB_1976,34.68
CUB_1977,35.05
CUB_1978,35.32
CUB_1979,35.24
CUB_1980,35.40
CUB_1981,35.46
CUB_1982,35.42
CUB_1983,35.53
CUB_1984,35.49
CUB_1985,35.65
CUB_1986,35.65
CUB_1987,35.71
CUB_1988,36.18
CUB_1989,36.68
CUB_1990,36.56
CUB_1991,36.93
CUB_1992,36.67
CUB_1993,37.13
CUB_1994,43.90
CUB_1995,45.05
CUB_1996,48.20
CUB_1997,49.15
CUB_1998,43.67
CUB_1999,44.69
CUB_2000,44.14
CUB_2001,45.95
CUB_2002,45.04
CUB_2003,45.45
CUB_2004,45.69
CUB_2005,46.17
CUB_2006,48.43
CUB_2007,49.34
CUB_2008,49.94
CUB_2009,50.06
CUB_2010,50.60
CUB_2011,50.82
CYM_1970,30.55
CYM_1971,30.61
CYM_1972,30.66
CYM_1973,30.71
CYM_1974,30.82
CYM_1975,30.87
CYM_1976,30.87
CYM_1977,30.92
CYM_1978,30.98
CYM_1979,30.98
CYM_1980,31.03
CYM_1981,31.08
CYM_1982,31.13
CYM_1983,31.07
CYM_1984,31.07
CYM_1985,31.13
CYM_1986,31.13
CYM_1987,31.18
CYM_1988,31.18
CYM_1989,30.99
CYM_1990,31.17
CYM_1991,31.34
CYM_1992,31.74
CYM_1993,31.90
CYM_1994,31.84
CYM_1995,31.89
CYM_1996,32.38
CYM_1997,32.58
CYM_1998,32.77
CYM_1999,32.87
CYM_2000,32.97
CYM_2001,33.27
CYM_2002,33.37
CYM_2003,33.47
CYM_2004,33.56
CYM_2005,33.70
CYM_2006,33.90
CYM_2007,33.79
CYM_2008,33.69
CYM_2009,33.96
CYM_2010,33.51
CYM_2011,33.51
CYP_1970,43.71
CYP_1971,44.12
CYP_1972,44.49
CYP_1973,44.95
CYP_1974,45.41
CYP_1975,46.16
CYP_1976,47.46
CYP_1977,47.65
CYP_1978,47.69
CYP_1979,48.04
CYP_1980,47.52
CYP_1981,46.76
CYP_1982,47.49
CYP_1983,48.56
