"","EC1","EC2","EC3","EC4","EC5","EC6"
"ec:2.4.2.7",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.2.9",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.1",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.10",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.15",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.16",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.18",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.19",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.21",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.22",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.29",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.3",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.47",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.48",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.49",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.54",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.58",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.6",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.61",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.78",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.82",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.83",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.87",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.5.1.9",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.6.1.1",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.6.1.11",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.6.1.13",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.6.1.16",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.6.1.19",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.6.1.22",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.6.1.27",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.6.1.42",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.6.1.44",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.6.1.45",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.6.1.5",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.6.1.51",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.6.1.52",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.6.1.57",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.6.1.58",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.6.1.62",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.6.1.7",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
